Date,Open,High,Low,Close,Volume
2022-04-11 09:15:00,110.95,111.0,110.8,110.95,239559
2022-04-11 09:16:00,110.9,111.2,110.9,111.2,487270
2022-04-11 09:17:00,111.3,111.6,111.3,111.55,886341
2022-04-11 09:18:00,111.6,111.9,111.6,111.9,1153793
2022-04-11 09:19:00,111.85,112.1,111.85,112.1,1623725
2022-04-11 09:20:00,112.1,112.15,111.95,112.05,2121316
2022-04-11 09:21:00,112.05,112.15,112.05,112.1,2323325
2022-04-11 09:22:00,112.05,112.1,112.0,112.0,2527652
2022-04-11 09:23:00,112.0,112.1,111.9,111.9,2634192
2022-04-11 09:24:00,111.95,111.95,111.75,111.75,2812627
2022-04-11 09:25:00,112.0,112.0,111.75,111.9,3104777
2022-04-11 09:26:00,111.9,111.95,111.7,111.9,3212409
2022-04-11 09:27:00,111.9,112.0,111.8,111.85,3384490
2022-04-11 09:28:00,111.8,111.9,111.8,111.85,3423280
2022-04-11 09:29:00,111.85,112.1,111.85,112.05,3734539
2022-04-11 09:30:00,112.05,112.2,111.9,111.95,3914653
2022-04-11 09:31:00,111.9,111.95,111.8,111.9,4016391
2022-04-11 09:32:00,111.85,111.95,111.7,111.7,4169194
2022-04-11 09:33:00,111.7,111.75,111.5,111.6,4370448
2022-04-11 09:34:00,111.6,111.7,111.45,111.6,4705366
2022-04-11 09:35:00,111.55,111.6,111.5,111.55,4785055
2022-04-11 09:36:00,111.65,111.7,111.6,111.7,4855320
2022-04-11 09:37:00,111.7,111.7,111.6,111.6,5104447
2022-04-11 09:38:00,111.55,111.6,111.5,111.55,5149354
2022-04-11 09:39:00,111.5,111.5,111.4,111.4,5271325
2022-04-11 09:40:00,111.35,111.45,111.35,111.45,5338727
2022-04-11 09:41:00,111.4,111.55,111.4,111.55,5396404
2022-04-11 09:42:00,111.45,111.45,111.3,111.4,5472997
2022-04-11 09:43:00,111.4,111.65,111.4,111.65,5710535
2022-04-11 09:44:00,111.6,111.65,111.45,111.45,5758360
2022-04-11 09:45:00,111.3,111.4,111.25,111.35,5844167
2022-04-11 09:46:00,111.35,111.4,111.3,111.4,5902647
2022-04-11 09:47:00,111.4,111.45,111.35,111.4,5938282
2022-04-11 09:48:00,111.45,111.6,111.4,111.55,5997074
2022-04-11 09:49:00,111.55,111.6,111.45,111.5,6105064
2022-04-11 09:50:00,111.55,111.55,111.45,111.5,6220682
2022-04-11 09:51:00,111.5,111.6,111.5,111.5,6275759
2022-04-11 09:52:00,111.55,111.65,111.55,111.65,6310283
2022-04-11 09:53:00,111.6,111.85,111.6,111.7,6388591
2022-04-11 09:54:00,111.65,111.65,111.5,111.55,6470713
2022-04-11 09:55:00,111.5,111.55,111.45,111.55,6514869
2022-04-11 09:56:00,111.55,111.55,111.4,111.4,6559129
2022-04-11 09:57:00,111.45,111.45,111.4,111.4,6570311
2022-04-11 09:58:00,111.45,111.45,111.35,111.35,6594896
2022-04-11 09:59:00,111.45,111.5,111.4,111.5,6625504
2022-04-11 10:00:00,111.5,111.5,111.4,111.4,6638656
2022-04-11 10:01:00,111.45,111.5,111.4,111.5,6661437
2022-04-11 10:02:00,111.4,111.45,111.3,111.3,6712341
2022-04-11 10:03:00,111.35,111.5,111.3,111.45,6757048
2022-04-11 10:04:00,111.4,111.45,111.35,111.4,6813737
2022-04-11 10:05:00,111.4,111.4,111.3,111.35,6885113
2022-04-11 10:06:00,111.35,111.45,111.3,111.3,7038593
2022-04-11 10:07:00,111.25,111.45,111.25,111.35,7209113
2022-04-11 10:08:00,111.4,111.45,111.35,111.35,7239078
2022-04-11 10:09:00,111.35,111.4,111.25,111.3,7329922
2022-04-11 10:10:00,111.25,111.3,111.25,111.25,7374415
2022-04-11 10:11:00,111.3,111.35,111.25,111.3,7424942
2022-04-11 10:12:00,111.3,111.4,111.25,111.3,7453004
2022-04-11 10:13:00,111.3,111.4,111.3,111.35,7535314
2022-04-11 10:14:00,111.35,111.4,111.25,111.25,7624723
2022-04-11 10:15:00,111.25,111.3,111.2,111.2,7703022
2022-04-11 10:16:00,111.2,111.25,111.2,111.2,7721875
2022-04-11 10:17:00,111.2,111.25,111.2,111.25,7747045
2022-04-11 10:18:00,111.2,111.5,111.2,111.3,7963645
2022-04-11 10:19:00,111.3,111.35,111.25,111.25,8023443
2022-04-11 10:20:00,111.25,111.4,111.25,111.35,8136061
2022-04-11 10:21:00,111.35,111.4,111.3,111.35,8176284
2022-04-11 10:22:00,111.35,111.35,111.25,111.25,8210982
2022-04-11 10:23:00,111.3,111.3,111.25,111.25,8231504
2022-04-11 10:24:00,111.25,111.3,111.25,111.3,8253361
2022-04-11 10:25:00,111.3,111.3,111.15,111.2,8397121
2022-04-11 10:26:00,111.15,111.25,111.1,111.2,8465266
2022-04-11 10:27:00,111.2,111.3,111.2,111.2,8540194
2022-04-11 10:28:00,111.2,111.25,111.15,111.25,8584207
2022-04-11 10:29:00,111.25,111.35,111.25,111.3,8619315
2022-04-11 10:30:00,111.3,111.3,111.2,111.25,8671636
2022-04-11 10:31:00,111.25,111.25,111.2,111.2,8698433
2022-04-11 10:32:00,111.15,111.35,111.15,111.3,8757447
2022-04-11 10:33:00,111.3,111.4,111.3,111.3,8832920
2022-04-11 10:34:00,111.35,111.4,111.3,111.3,8901367
2022-04-11 10:35:00,111.3,111.4,111.25,111.4,8981628
2022-04-11 10:36:00,111.4,111.7,111.35,111.7,9114263
2022-04-11 10:37:00,111.75,111.75,111.6,111.7,9282454
2022-04-11 10:38:00,111.75,111.85,111.75,111.8,9495856
2022-04-11 10:39:00,111.8,111.8,111.65,111.65,9556216
2022-04-11 10:40:00,111.7,111.7,111.55,111.6,9605729
2022-04-11 10:41:00,111.6,111.6,111.45,111.5,9693136
2022-04-11 10:42:00,111.5,111.5,111.45,111.45,9707580
