Date,Open,High,Low,Close,Volume
2022-04-11 09:15:00,513.8,515.6,513.8,515.6,205977
2022-04-11 09:16:00,515.65,516.25,515.3,515.4,324134
2022-04-11 09:17:00,515.5,515.5,514.6,515.2,399480
2022-04-11 09:18:00,515.3,516.85,515.3,516.25,484145
2022-04-11 09:19:00,516.1,516.1,515.4,516.0,530530
2022-04-11 09:20:00,515.9,516.5,515.6,516.35,580790
2022-04-11 09:21:00,516.3,518.4,516.3,518.0,721881
2022-04-11 09:22:00,518.0,518.65,517.95,518.15,805611
2022-04-11 09:23:00,518.1,518.4,517.85,517.9,852781
2022-04-11 09:24:00,517.7,518.25,517.05,518.25,1019249
2022-04-11 09:25:00,518.0,518.45,518.0,518.3,1102048
2022-04-11 09:26:00,518.4,518.75,517.95,518.65,1193763
2022-04-11 09:27:00,518.75,519.0,518.3,518.3,1280843
2022-04-11 09:28:00,518.3,519.5,518.3,519.2,1578661
2022-04-11 09:29:00,519.35,519.5,519.0,519.05,1667587
2022-04-11 09:30:00,519.1,519.2,518.1,518.15,1764901
2022-04-11 09:31:00,518.15,518.4,517.8,518.25,1810799
2022-04-11 09:32:00,518.3,519.2,518.25,519.2,1859580
2022-04-11 09:33:00,519.15,519.5,519.0,519.2,1901181
2022-04-11 09:34:00,519.25,519.75,519.1,519.45,1986021
2022-04-11 09:35:00,519.6,520.5,519.45,519.95,2194335
2022-04-11 09:36:00,520.0,520.2,519.7,520.15,2275153
2022-04-11 09:37:00,520.15,521.25,520.1,521.2,2491084
2022-04-11 09:38:00,521.2,521.75,521.0,521.75,2683073
2022-04-11 09:39:00,521.75,522.0,521.6,521.7,2810676
2022-04-11 09:40:00,521.6,521.65,520.7,520.85,2874833
2022-04-11 09:41:00,520.85,521.05,520.05,520.25,2971805
2022-04-11 09:42:00,520.35,520.65,520.0,520.45,3041815
2022-04-11 09:43:00,520.4,520.75,520.2,520.5,3068428
2022-04-11 09:44:00,520.55,520.75,520.1,520.1,3112291
2022-04-11 09:45:00,520.1,521.0,520.0,521.0,3180463
